

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
208.344  000.268  000.268: sourcing /usr/local/share/nvim/runtime/plugin/matchparen.vim
208.499  000.129  000.129: sourcing /usr/local/share/nvim/runtime/plugin/netrwPlugin.vim
208.864  000.096  000.096: sourcing /home/adri/.local/share/nvim/rplugin.vim
208.875  000.353  000.257: sourcing /usr/local/share/nvim/runtime/plugin/rplugin.vim
209.046  000.149  000.149: sourcing /usr/local/share/nvim/runtime/plugin/shada.vim
209.194  000.124  000.124: sourcing /usr/local/share/nvim/runtime/plugin/spellfile.vim
209.434  000.216  000.216: sourcing /usr/local/share/nvim/runtime/plugin/tarPlugin.vim
209.661  000.201  000.201: sourcing /usr/local/share/nvim/runtime/plugin/tohtml.vim
209.807  000.121  000.121: sourcing /usr/local/share/nvim/runtime/plugin/tutor.vim
210.085  000.253  000.253: sourcing /usr/local/share/nvim/runtime/plugin/zipPlugin.vim
212.723  001.663  001.663: require('lspsaga')
213.823  000.366  000.366: require('lspsaga.window')
213.835  000.760  000.393: require('lspsaga.libs')
214.524  000.248  000.248: require('lspsaga.wrap')
214.532  000.695  000.447: require('lspsaga.codeaction')
214.554  001.826  000.371: require('lspsaga.lightbulb')
214.839  000.263  000.263: require('lspsaga.lspkind')
215.499  000.176  000.176: require('cmp_nvim_ultisnips.snippets')
215.504  000.383  000.207: require('cmp_nvim_ultisnips.source')
215.663  000.157  000.157: require('cmp_nvim_ultisnips.config')
215.667  000.822  000.281: require('cmp_nvim_ultisnips')
216.933  000.308  000.308: require('todo-comments.util')
216.944  000.766  000.458: require('todo-comments.config')
217.815  000.557  000.557: require('todo-comments.highlight')
217.820  000.874  000.317: require('todo-comments.jump')
217.823  002.140  000.500: require('todo-comments')
218.784  000.424  000.424: require('packer.load')
221.517  000.257  000.257: require('nvim-treesitter.statusline')
221.909  000.386  000.386: require('nvim-treesitter.query_predicates')
221.913  002.371  001.728: require('nvim-treesitter')
222.338  002.930  000.558: sourcing /home/adri/.local/share/nvim/site/pack/packer/start/nvim-treesitter/plugin/nvim-treesitter.lua
224.880  001.925  001.925: require('nvim-treesitter-textobjects')
226.317  000.428  000.428: require('nvim-treesitter.textobjects.shared')
226.326  001.067  000.639: require('nvim-treesitter.textobjects.select')
227.047  000.347  000.347: require('nvim-treesitter.textobjects.attach')
227.057  000.706  000.359: require('nvim-treesitter.textobjects.move')
227.423  000.320  000.320: require('nvim-treesitter.textobjects.swap')
227.807  000.361  000.361: require('nvim-treesitter.textobjects.lsp_interop')
227.857  005.015  000.636: sourcing /home/adri/.local/share/nvim/site/pack/packer/opt/nvim-treesitter-textobjects/plugin/nvim-treesitter-textobjects.vim
228.015  017.810  002.728: sourcing /home/adri/.config/nvim/plugin/packer_compiled.lua
228.407  000.170  000.170: sourcing /usr/local/share/nvim/runtime/plugin/man.lua
228.425  002.844: loading rtp plugins
229.380  000.325  000.325: sourcing /home/adri/.local/share/nvim/site/pack/packer/start/Comment.nvim/plugin/Comment.lua
229.844  000.269  000.269: sourcing /home/adri/.local/share/nvim/site/pack/packer/start/LuaSnip/plugin/luasnip.vim
230.389  000.186  000.186: sourcing /home/adri/.local/share/nvim/site/pack/packer/start/diffview.nvim/plugin/diffview.lua
231.172  000.446  000.446: sourcing /home/adri/.local/share/nvim/site/pack/packer/start/lspsaga.nvim/plugin/lspsaga.lua
231.975  000.253  000.253: require('cmp.utils.highlight')
232.310  000.768  000.516: sourcing /home/adri/.local/share/nvim/site/pack/packer/start/nvim-cmp/plugin/cmp.lua
232.643  000.119  000.119: sourcing /home/adri/.local/share/nvim/site/pack/packer/start/nvim-colorizer.lua/plugin/colorizer.vim
233.131  000.222  000.222: sourcing /home/adri/.local/share/nvim/site/pack/packer/start/nvim-dap/plugin/dap.lua
233.694  000.312  000.312: sourcing /home/adri/.local/share/nvim/site/pack/packer/start/nvim-lspconfig/plugin/lspconfig.lua
233.914  000.039  000.039: sourcing /home/adri/.local/share/nvim/site/pack/packer/start/nvim-treesitter/plugin/nvim-treesitter.lua
234.259  000.150  000.150: sourcing /home/adri/.local/share/nvim/site/pack/packer/start/nvim-web-devicons/plugin/nvim-web-devicons.vim
234.670  000.137  000.137: sourcing /home/adri/.local/share/nvim/site/pack/packer/start/plenary.nvim/plugin/plenary.vim
235.438  000.497  000.497: sourcing /home/adri/.local/share/nvim/site/pack/packer/start/telescope.nvim/plugin/telescope.lua
235.791  000.126  000.126: sourcing /home/adri/.local/share/nvim/site/pack/packer/start/todo-comments.nvim/plugin/todo.vim
237.178  000.152  000.152: sourcing /home/adri/.local/share/nvim/site/pack/packer/start/ultisnips/autoload/UltiSnips/map_keys.vim
237.248  001.207  001.055: sourcing /home/adri/.local/share/nvim/site/pack/packer/start/ultisnips/plugin/UltiSnips.vim
237.743  000.242  000.242: sourcing /home/adri/.local/share/nvim/site/pack/packer/start/undotree/plugin/undotree.vim
239.169  001.186  001.186: sourcing /home/adri/.local/share/nvim/site/pack/packer/start/vim-fugitive/plugin/fugitive.vim
239.570  000.130  000.130: sourcing /home/adri/.local/share/nvim/site/pack/packer/start/vim-snippets/plugin/vimsnippets.vim
239.951  000.132  000.132: sourcing /home/adri/.local/share/nvim/site/pack/packer/start/vimtex/plugin/vimtex.vim
242.268  000.739  000.739: sourcing /home/adri/.local/share/nvim/site/pack/packer/start/vimwiki/autoload/vimwiki/vars.vim
243.692  000.293  000.293: sourcing /home/adri/.local/share/nvim/site/pack/packer/start/vimwiki/autoload/vimwiki/u.vim
248.196  000.149  000.149: sourcing /home/adri/.local/share/nvim/site/pack/packer/start/vimwiki/autoload/vimwiki/markdown_base.vim
248.429  002.361  002.212: sourcing /home/adri/.local/share/nvim/site/pack/packer/start/vimwiki/autoload/vimwiki/base.vim
248.826  000.235  000.235: sourcing /home/adri/.local/share/nvim/site/pack/packer/start/vimwiki/autoload/vimwiki/path.vim
252.011  011.829  008.201: sourcing /home/adri/.local/share/nvim/site/pack/packer/start/vimwiki/plugin/vimwiki.vim
252.173  005.426: loading packages
253.046  000.163  000.163: sourcing /home/adri/.local/share/nvim/site/pack/packer/start/ultisnips/after/plugin/UltiSnips_after.vim
253.290  000.152  000.152: sourcing /home/adri/.local/share/nvim/site/pack/packer/start/cmp-nvim-lsp/after/plugin/cmp_nvim_lsp.lua
253.668  000.012  000.012: sourcing /home/adri/.local/share/nvim/site/pack/packer/start/ultisnips/plugin/UltiSnips.vim
253.980  000.206  000.206: require('cmp_nvim_ultisnips.treesitter')
254.215  000.168  000.168: sourcing /home/adri/.local/share/nvim/site/pack/packer/start/cmp-nvim-ultisnips/autoload/cmp_nvim_ultisnips.vim
254.297  000.933  000.546: sourcing /home/adri/.local/share/nvim/site/pack/packer/start/cmp-nvim-ultisnips/after/plugin/cmp_nvim_ultisnips.lua
255.033  000.514  000.514: require('cmp_luasnip')
255.130  000.741  000.227: sourcing /home/adri/.local/share/nvim/site/pack/packer/start/cmp_luasnip/after/plugin/cmp_luasnip.lua
255.215  001.053: loading after plugins
255.231  000.016: inits 3
258.214  002.983: reading ShaDa
258.790  000.301  000.301: require('luasnip.loaders.from_lua')
259.176  000.346  000.346: require('luasnip.loaders.from_snipmate')
259.223  000.362: opening buffers
259.429  000.207: BufEnter autocommands
259.434  000.004: editing files in windows
260.774  000.677  000.677: require('dap.ui')
260.794  001.321  000.644: require('dap.repl')
261.608  000.504  000.504: require('mason-core.async')
261.613  000.781  000.277: require('mason-core.terminator')
